"CODE_OF,C,4","LIB_OF,C,30","CODE_G,C,2","LIB_G,C,15","CODE_D,C,2","LIB_D,C,25","CODE_C,C,2","LIB_C,C,25","CATEGORIE,C,1"
   3,AMARA ZOHRA BEN RHOUMA,02,ARIANA,10,CITE ETTADHAMEN,,,A
  10,AZZOUZI RIM EP FERCHICHI,02,ARIANA,10,CITE ETTADHAMEN,,,A
  20,BEN KHEDIJA AMEL EP B.ABDALLAH,02,ARIANA,10,CITE ETTADHAMEN,,,A
  30,BRAIEK ABDELMAJID,02,ARIANA,10,CITE ETTADHAMEN,,,A
  35,BEN ABDELFETTAH WASSIM,02,ARIANA,10,CITE ETTADHAMEN,,,A
  36,DOUIK RAOUDHA EP TAABOURI,02,ARIANA,10,CITE ETTADHAMEN,,,A
  53,ZGOLLI FARAH,02,ARIANA,10,CITE ETTADHAMEN,,,A
  54,HAJJAR AHLEM EP FETATI,02,ARIANA,10,CITE ETTADHAMEN,,,A
  59,JELILI KAIS,02,ARIANA,10,CITE ETTADHAMEN,,,A
  85,GHARBI HAJER EP MEJDI,02,ARIANA,10,CITE ETTADHAMEN,,,A
  86,SOUABNI MONGI,02,ARIANA,10,CITE ETTADHAMEN,,,A
   1,ABDELMOULA AHMED,02,ARIANA,01,COMMUNE ARIANA,,,A
   2,ABDENNEBI LILIA EP NAKOURI,02,ARIANA,01,COMMUNE ARIANA,,,A
   4,ALOULOU KHEDIJA EP AMMAR,02,ARIANA,01,COMMUNE ARIANA,,,A
  18,BEN CHEIKH BOUBAKER NADIA,02,ARIANA,01,COMMUNE ARIANA,,,A
  26,BOUAZIZ HAMADI,02,ARIANA,01,COMMUNE ARIANA,,,A
  27,BOUDEN TAOUFIK,02,ARIANA,01,COMMUNE ARIANA,,,A
  28,BARGHOUCHI MOUHIBA BOUGATTEF,02,ARIANA,01,COMMUNE ARIANA,,,A
  41,DJAAIT RAJA EP ELLOUMI,02,ARIANA,01,COMMUNE ARIANA,,,A
  44,FEKI MOHAMED HABIB,02,ARIANA,01,COMMUNE ARIANA,,,A
  46,FERZA LEILA,02,ARIANA,01,COMMUNE ARIANA,,,A
  49,GHEZAIEL MONCEF,02,ARIANA,01,COMMUNE ARIANA,,,A
